time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.910,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.659;1.028,-0.200;0.298,0.129;-0.109,-0.298;0.148,0.414;0.358
0.920,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.029;1.180,-0.070;0.104,-0.100;-0.009,-0.256;-0.410,0.562;0.315
0.930,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.084;1.151,0.053;-0.085,0.112;-0.194,-0.496;-0.227,0.721;0.362
0.941,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.814;0.917,0.073;-0.116,-0.036;-0.200,-0.195;-0.359,0.604;0.435
0.951,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.723;0.835,-0.621;0.185,-0.051;0.197,-0.196;0.030,0.665;0.342
0.961,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.940;0.837,-1.166;0.039,-0.018;0.069,0.552;-0.111,0.940;0.215
0.970,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.646;0.803,-0.278;0.340,-0.318;-0.198,0.508;-0.195,0.545;0.125
0.980,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.851;0.700,0.285;0.528,0.355;-0.041,0.301;0.214,0.383;0.167
0.990,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.923;0.664,0.370;0.474,0.245;0.070,-0.170;-0.160,0.460;0.364
1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.852;0.798,0.187;0.228,0.119;-0.023,-0.171;-0.432,0.393;0.440
1.011,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.872;0.824,-0.380;0.394,0.429;0.183,-0.194;-0.121,0.731;0.943
1.021,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.058;0.983,-0.348;0.243,0.937;0.476,-0.297;0.731,1.018;0.616
1.031,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.409;0.895,-0.121;0.085,0.973;0.190,0.093;0.127,0.868;0.450
1.041,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.532;0.864,-0.114;0.065,-0.073;0.466,0.091;-0.165,0.512;0.373
1.051,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.119;0.887,-0.040;0.023,-0.082;-0.164,0.003;-0.401,0.733;-0.015
1.061,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.985;1.105,-0.014;0.008,-0.638;0.131,0.147;-0.132,0.411;0.271
1.070,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.803;0.799,-0.005;0.003,-0.271;-0.149,0.150;-0.037,0.183;0.404
1.080,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.873;0.123,-0.002;0.001,-0.224;-0.013,-0.207;-0.631,0.483;0.456
1.090,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.209;0.163,-0.314;0.606,-0.078;-0.004,-0.245;-0.385,0.623;0.370
1.100,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.538;0.443,-0.015;0.136,0.355;0.040,-0.265;-0.162,0.650;0.468
1.110,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.415;0.595,0.147;-0.126,0.097;0.110,-0.146;-0.059,0.702;0.604
1.120,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.877;0.592,-0.128;-0.211,0.136;0.439,-0.104;-0.023,1.203;0.327
1.131,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.906;0.650,-0.372;-0.310,0.008;0.252,-0.126;0.044,0.807;0.511
1.141,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.881;0.346,-0.005;-0.072,-0.323;0.247,-0.649;0.349,0.646;0.146
